surface,w_ace,l_ace,tot_ace
Hard,2,8,10
Hard,2,5,7
Hard,3,0,3
Hard,13,2,15
Hard,2,6,8
Hard,8,3,11
Hard,10,2,12
Hard,0,11,11
Hard,5,5,10
Hard,2,4,6
Hard,0,2,2
Hard,2,1,3
Hard,8,0,8
Hard,8,5,13
Hard,0,1,1
Hard,2,0,2
Hard,0,5,5
Hard,8,6,14
Hard,5,5,10
Hard,5,1,6
Hard,4,6,10
Hard,8,1,9
Hard,2,2,4
Hard,4,1,5
Hard,1,1,2
Hard,4,0,4
Hard,2,5,7
Hard,5,2,7
Hard,4,0,4
Hard,5,0,5
Hard,3,0,3
Hard,7,3,10
Hard,0,0,0
Hard,0,2,2
Hard,10,1,11
Hard,2,3,5
Hard,11,1,12
Hard,1,3,4
Hard,1,2,3
Hard,4,0,4
Hard,0,5,5
Hard,4,9,13
Hard,6,1,7
Hard,6,3,9
Hard,0,4,4
Hard,1,1,2
Hard,4,0,4
Hard,0,5,5
Hard,0,0,0
Hard,18,4,22
Hard,4,6,10
Hard,0,1,1
Hard,4,2,6
Hard,0,2,2
Hard,6,0,6
Hard,9,4,13
Hard,1,1,2
Hard,13,3,16
Hard,2,0,2
Hard,6,1,7
Hard,5,3,8
Hard,4,1,5
Hard,2,3,5
Hard,6,3,9
Hard,2,2,4
Hard,12,3,15
Hard,2,2,4
Hard,1,5,6
Hard,11,7,18
Hard,7,0,7
Hard,11,1,12
Hard,0,3,3
Hard,8,0,8
Hard,2,2,4
Hard,3,2,5
Hard,1,0,1
Hard,4,6,10
Hard,6,0,6
Hard,2,0,2
Hard,7,1,8
Hard,5,4,9
Hard,2,2,4
Hard,2,2,4
Hard,3,14,17
Hard,0,1,1
Hard,1,3,4
Hard,3,1,4
Hard,2,4,6
Hard,1,4,5
Hard,0,4,4
Hard,4,4,8
Hard,4,2,6
Hard,2,5,7
Hard,1,3,4
Hard,2,0,2
Hard,5,2,7
Hard,5,2,7
Hard,0,1,1
Hard,0,4,4
Hard,2,2,4
Hard,0,0,0
Hard,2,1,3
Hard,0,1,1
Hard,14,2,16
Hard,2,3,5
Hard,0,2,2
Hard,1,10,11
Hard,1,1,2
Hard,5,2,7
Hard,1,0,1
Hard,7,2,9
Hard,2,1,3
Hard,5,1,6
Hard,3,0,3
Hard,2,1,3
Hard,5,1,6
Hard,8,1,9
Hard,7,13,20
Hard,0,4,4
Hard,6,10,16
Hard,1,8,9
Hard,2,2,4
Hard,8,1,9
Hard,2,0,2
Hard,8,2,10
Hard,0,0,0
Hard,2,1,3
Hard,0,2,2
Hard,1,2,3
Hard,5,0,5
Hard,12,3,15
Hard,8,1,9
Hard,7,0,7
Hard,3,0,3
Hard,6,4,10
Hard,5,2,7
Hard,3,3,6
Hard,2,5,7
Hard,3,3,6
Hard,4,1,5
Hard,4,1,5
Hard,7,2,9
Hard,2,2,4
Hard,8,8,16
Hard,3,4,7
Hard,2,2,4
Hard,0,1,1
Hard,2,2,4
Hard,2,2,4
Hard,1,3,4
Hard,6,2,8
Hard,9,1,10
Hard,10,4,14
Hard,6,3,9
Hard,4,2,6
Hard,4,4,8
Hard,3,1,4
Hard,0,4,4
Hard,7,0,7
Hard,4,1,5
Hard,4,0,4
Hard,12,1,13
Hard,5,1,6
Hard,11,2,13
Hard,1,1,2
Hard,1,1,2
Hard,6,0,6
Hard,10,3,13
Hard,2,4,6
Hard,2,1,3
Hard,5,2,7
