player_hand,match_outcome
R,win
L,win
R,win
R,win
R,win
L,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
U,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
L,win
R,win
L,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
L,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
L,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
L,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
L,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
R,win
