w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,player_rank,player_bcr
7,8,1,4,18,-0.125
1,4,4,10,26,-0.75
11,15,7,11,56,-0.266666667
0,0,4,7,8,#DIV/0!
1,3,4,10,28,-0.666666667
2,4,3,9,20,-0.5
7,8,5,10,9,-0.125
8,11,8,14,13,-0.272727273
0,1,3,7,23,-1
4,7,8,14,101,-0.428571429
3,5,4,8,55,-0.4
0,0,4,8,62,#DIV/0!
1,1,6,9,181,0
5,10,8,14,120,-0.5
4,5,6,9,11,-0.2
3,9,1,8,42,-0.666666667
3,7,4,10,52,-0.571428571
10,11,6,9,66,-0.090909091
1,6,9,14,35,-0.833333333
16,23,5,12,48,-0.304347826
6,7,4,9,33,-0.142857143
1,2,6,11,12,-0.5
3,5,5,11,50,-0.4
2,3,5,10,47,-0.333333333
6,8,0,5,14,-0.25
0,0,2,5,10,#DIV/0!
4,8,3,10,56,-0.5
2,5,0,3,8,-0.6
1,5,11,18,20,-0.8
4,8,5,8,13,-0.5
3,4,1,5,55,-0.25
4,6,5,8,181,-0.333333333
8,14,7,14,120,-0.428571429
5,11,5,11,52,-0.545454545
2,3,5,8,35,-0.333333333
1,5,5,12,33,-0.8
6,9,6,12,12,-0.333333333
7,11,8,15,14,-0.363636364
2,5,6,11,10,-0.6
8,10,2,6,20,-0.2
9,9,4,8,13,0
1,2,1,6,181,-0.5
2,3,3,6,52,-0.333333333
0,3,6,11,12,-1
5,9,4,10,10,-0.444444444
2,4,8,12,13,-0.5
1,2,6,8,181,-0.5
4,5,3,7,10,-0.2
2,3,1,5,181,-0.333333333
0,1,3,7,10,-1
0,2,2,7,44,-1
0,0,11,16,168,#DIV/0!
12,14,8,11,881,-0.142857143
9,14,2,7,61,-0.357142857
0,0,2,6,26,#DIV/0!
0,2,4,7,101,-1
3,5,2,7,40,-0.4
9,15,16,24,16,-0.4
2,3,5,11,12,-0.333333333
4,5,3,7,202,-0.2
5,6,4,7,69,-0.166666667
1,2,5,10,17,-0.5
0,2,10,15,30,-1
10,16,6,14,65,-0.375
2,2,2,5,83,0
8,12,4,9,8,-0.333333333
4,5,4,8,3,-0.2
11,19,6,11,134,-0.421052632
2,2,1,3,79,0
3,3,4,10,32,0
7,8,1,5,23,-0.125
1,2,5,10,85,-0.5
4,6,3,8,72,-0.333333333
3,8,6,14,15,-0.625
6,8,8,14,9,-0.25
5,7,2,6,45,-0.285714286
3,10,14,20,158,-0.7
6,9,4,8,18,-0.333333333
2,4,2,8,52,-0.5
7,11,8,15,59,-0.363636364
2,4,3,8,70,-0.5
6,9,3,7,7,-0.333333333
0,0,6,10,6,#DIV/0!
1,1,3,9,55,0
1,2,2,7,53,-0.5
2,6,4,9,24,-0.666666667
6,10,4,10,22,-0.4
3,5,6,9,51,-0.4
6,9,12,16,73,-0.333333333
5,11,2,9,10,-0.545454545
2,4,14,18,14,-0.5
1,6,6,12,92,-0.833333333
8,12,4,11,49,-0.333333333
4,5,5,7,57,-0.2
5,9,10,16,35,-0.444444444
3,7,5,11,43,-0.571428571
6,12,4,13,82,-0.5
2,5,2,6,4,-0.6
3,4,2,6,5,-0.25
1,7,5,13,90,-0.857142857
9,13,7,14,133,-0.307692308
5,10,7,15,20,-0.5
0,1,3,7,19,-1
6,12,7,14,162,-0.5
6,8,3,7,33,-0.25
11,16,2,8,11,-0.3125
2,3,3,8,13,-0.333333333
4,6,3,8,193,-0.333333333
2,2,6,10,137,0
3,3,8,12,103,0
5,10,9,17,54,-0.5
3,5,3,9,58,-0.4
5,7,5,10,36,-0.285714286
1,2,4,9,2,-0.5
3,3,7,10,44,0
6,9,3,9,61,-0.333333333
4,5,1,6,26,-0.2
9,12,5,10,16,-0.25
7,11,5,9,202,-0.363636364
1,2,2,5,17,-0.5
5,9,3,10,65,-0.444444444
2,3,3,8,8,-0.333333333
15,20,4,11,3,-0.25
1,3,9,16,79,-0.666666667
4,4,0,5,23,0
7,8,4,10,15,-0.125
5,5,1,2,45,0
3,6,4,11,18,-0.5
6,8,2,8,52,-0.25
0,1,6,11,7,-1
8,10,8,11,6,-0.2
2,5,6,11,24,-0.6
6,8,8,13,22,-0.25
6,9,4,8,10,-0.333333333
2,2,6,9,14,0
0,0,3,7,49,#DIV/0!
12,18,8,14,35,-0.333333333
2,8,12,20,4,-0.75
4,6,2,7,5,-0.333333333
3,4,5,7,20,-0.25
