w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,player_rank,player_bcr
4,6,12,16,15,-0.333333333
1,3,4,8,5,-0.666666667
0,0,0,5,8,#DIV/0!
10,13,3,7,15,-0.230769231
6,6,4,8,8,0
5,8,7,13,15,-0.375
2,4,7,12,1,-0.5
6,10,7,12,37,-0.4
3,4,16,21,46,-0.25
3,6,2,7,36,-0.5
4,7,10,16,23,-0.428571429
1,2,1,5,57,-0.5
1,2,6,12,79,-0.5
0,0,3,8,16,#DIV/0!
2,4,1,7,145,-0.5
6,8,10,15,134,-0.25
7,10,8,9,38,-0.3
3,4,1,5,18,-0.25
2,2,1,5,28,0
8,10,3,6,177,-0.2
1,3,3,9,88,-0.666666667
3,4,6,10,8,-0.25
0,1,4,8,4,-1
14,16,3,7,78,-0.125
7,11,8,15,110,-0.363636364
6,8,2,8,27,-0.25
6,6,5,8,21,0
7,13,12,20,61,-0.461538462
3,5,6,10,106,-0.4
5,6,8,13,12,-0.166666667
4,5,6,10,14,-0.2
4,5,0,4,91,-0.2
5,7,0,3,89,-0.285714286
1,1,11,15,17,0
3,5,3,8,42,-0.4
6,9,9,12,101,-0.333333333
3,7,5,11,48,-0.571428571
1,2,5,10,7,-0.5
2,4,5,10,6,-0.5
7,10,6,9,70,-0.3
7,10,3,6,49,-0.3
2,6,4,9,39,-0.666666667
7,10,3,7,24,-0.3
9,12,6,10,87,-0.25
4,7,12,17,97,-0.428571429
1,1,3,6,11,0
1,3,4,10,15,-0.666666667
1,2,3,8,65,-0.5
10,13,4,9,232,-0.230769231
1,3,8,13,43,-0.666666667
1,1,5,11,30,0
2,2,1,4,64,0
1,2,0,2,77,-0.5
2,2,5,7,3,0
2,4,11,16,5,-0.5
9,12,4,7,66,-0.25
0,1,6,10,72,-1
2,2,1,6,32,0
3,3,2,5,20,0
3,3,3,8,31,0
3,6,3,8,44,-0.5
1,1,1,4,9,0
4,9,9,13,35,-0.555555556
3,8,4,9,123,-0.625
5,5,4,8,225,0
3,4,4,9,19,-0.25
2,4,3,8,29,-0.5
6,7,2,6,240,-0.142857143
7,9,13,16,195,-0.222222222
4,4,1,5,2,0
2,4,9,14,1,-0.5
10,13,6,12,36,-0.230769231
5,7,2,6,57,-0.285714286
1,3,7,13,16,-0.666666667
5,6,7,11,145,-0.166666667
2,2,3,5,18,0
0,1,5,11,28,-1
3,5,1,7,8,-0.4
3,5,8,13,4,-0.4
8,10,7,11,27,-0.2
0,0,4,7,21,#DIV/0!
8,11,10,15,12,-0.272727273
5,7,7,13,14,-0.285714286
6,8,4,8,17,-0.25
1,2,3,6,42,-0.5
3,3,3,6,7,0
3,4,0,5,6,-0.25
5,11,13,21,49,-0.545454545
4,5,4,10,87,-0.2
0,1,5,8,11,-1
2,3,6,10,15,-0.333333333
1,2,3,7,43,-0.5
0,0,2,7,30,#DIV/0!
2,2,6,10,3,0
2,3,18,23,5,-0.333333333
4,8,3,9,32,-0.5
9,10,2,6,31,-0.1
1,4,2,7,44,-0.75
1,3,2,6,35,-0.666666667
0,1,4,8,19,-1
8,11,7,12,240,-0.272727273
1,1,10,13,2,0
5,6,5,10,1,-0.166666667
0,0,7,12,16,#DIV/0!
4,7,4,9,18,-0.428571429
0,3,11,16,8,-1
11,15,4,11,4,-0.266666667
0,1,8,12,12,-1
7,8,3,7,17,-0.125
6,11,9,15,7,-0.454545455
2,2,3,6,6,0
1,1,7,11,87,0
2,3,6,10,15,-0.333333333
2,5,7,12,30,-0.6
3,6,1,4,5,-0.5
1,1,5,9,44,0
1,2,1,5,35,-0.5
0,0,5,10,2,#DIV/0!
4,7,5,10,16,-0.428571429
0,1,2,7,8,-1
8,10,1,4,4,-0.2
5,7,1,5,7,-0.285714286
0,0,6,11,6,#DIV/0!
6,8,6,10,15,-0.25
9,13,16,23,44,-0.307692308
1,2,1,7,35,-0.5
4,8,6,11,8,-0.5
2,4,8,13,4,-0.5
3,3,2,5,6,0
3,7,10,15,35,-0.571428571
6,8,7,11,4,-0.25
1,2,6,10,6,-0.5
7,10,11,14,4,-0.3
4,7,3,10,1,-0.428571429
5,6,1,5,48,-0.166666667
6,10,7,11,119,-0.4
0,0,2,5,26,#DIV/0!
6,13,6,12,19,-0.538461538
12,19,6,15,71,-0.368421053
0,0,2,6,39,#DIV/0!
4,4,4,8,14,0
3,5,4,10,11,-0.4
5,10,7,12,93,-0.5
2,6,7,11,103,-0.666666667
0,0,6,10,23,#DIV/0!
3,9,17,25,28,-0.666666667
8,13,2,6,128,-0.384615385
3,3,5,10,97,0
1,1,3,9,8,0
5,6,5,9,4,-0.166666667
0,1,8,12,42,-1
1,2,4,6,67,-0.5
4,6,2,6,74,-0.333333333
1,6,3,9,35,-0.833333333
11,12,7,12,116,-0.083333333
10,14,3,7,142,-0.285714286
1,3,7,12,15,-0.666666667
1,2,2,6,78,-0.5
2,3,5,10,46,-0.333333333
1,2,10,15,36,-0.5
0,0,1,6,21,#DIV/0!
1,3,2,5,29,-0.666666667
3,3,5,10,63,0
6,9,3,9,70,-0.333333333
2,3,1,6,9,-0.333333333
11,15,5,12,7,-0.266666667
5,5,0,3,45,0
5,7,9,14,91,-0.285714286
2,3,3,9,31,-0.333333333
4,6,0,4,20,-0.333333333
8,11,5,12,61,-0.272727273
1,1,0,3,56,0
10,15,4,9,54,-0.333333333
0,0,1,6,17,#DIV/0!
2,4,6,11,75,-0.5
2,2,0,5,600,0
7,12,5,10,22,-0.416666667
9,13,2,8,25,-0.307692308
1,2,5,10,38,-0.5
10,18,7,14,173,-0.444444444
1,3,3,8,3,-0.666666667
1,3,2,6,5,-0.666666667
2,4,3,8,62,-0.5
1,5,9,15,32,-0.8
7,7,8,13,52,0
2,7,5,12,73,-0.714285714
9,13,6,12,58,-0.307692308
7,11,6,12,163,-0.363636364
4,5,1,5,10,-0.2
3,10,3,12,53,-0.7
0,1,0,4,102,-1
6,11,4,11,139,-0.454545455
4,5,8,13,18,-0.2
0,2,2,7,30,-1
7,9,4,7,79,-0.222222222
2,2,5,8,72,0
6,7,2,6,2,-0.142857143
6,6,4,7,1,0
1,2,3,6,26,-0.5
2,3,3,8,19,-0.333333333
6,8,3,6,39,-0.25
4,4,3,5,11,0
8,10,4,7,23,-0.2
4,4,0,4,28,0
5,7,5,9,8,-0.285714286
4,7,6,12,4,-0.428571429
0,2,1,4,67,-1
1,3,6,11,35,-0.666666667
2,3,3,8,15,-0.333333333
4,8,2,7,78,-0.5
4,8,8,14,36,-0.5
1,2,4,9,29,-0.5
4,4,10,14,9,0
5,10,1,8,7,-0.5
4,8,5,12,31,-0.5
1,3,8,13,20,-0.666666667
5,7,4,8,56,-0.285714286
2,3,2,8,17,-0.333333333
0,1,4,7,600,-1
9,13,6,10,38,-0.307692308
2,4,4,9,3,-0.5
2,4,4,8,5,-0.5
6,9,4,8,32,-0.333333333
5,12,10,19,73,-0.583333333
4,7,5,11,10,-0.428571429
3,4,7,12,102,-0.25
2,5,3,10,18,-0.6
5,7,11,14,30,-0.285714286
1,2,4,8,2,-0.5
8,10,4,9,1,-0.2
3,7,7,10,19,-0.571428571
3,5,6,10,23,-0.4
1,1,2,6,8,0
1,2,1,4,67,-0.5
3,6,7,11,15,-0.5
8,12,7,12,78,-0.333333333
5,6,9,12,29,-0.166666667
0,0,3,8,31,#DIV/0!
8,9,5,8,56,-0.111111111
1,2,8,15,17,-0.5
5,7,4,9,3,-0.285714286
2,2,9,13,32,0
0,1,6,9,10,-1
5,7,1,6,18,-0.285714286
8,10,13,15,30,-0.2
1,5,2,6,1,-0.8
6,10,10,18,8,-0.4
3,4,7,12,15,-0.25
2,4,6,10,78,-0.5
12,19,5,14,31,-0.368421053
2,5,9,14,3,-0.6
2,4,4,9,32,-0.5
1,4,13,18,30,-0.75
10,12,4,8,1,-0.166666667
6,7,6,9,15,-0.142857143
1,1,6,11,3,0
3,6,2,7,32,-0.5
3,4,2,4,15,-0.25
10,13,10,14,32,-0.230769231
10,12,1,6,15,-0.166666667
6,8,4,10,3,-0.25
4,6,4,9,50,-0.333333333
4,7,2,8,188,-0.428571429
3,4,6,10,41,-0.25
3,6,0,5,23,-0.5
0,1,10,15,109,-1
5,9,6,11,128,-0.444444444
5,7,3,9,20,-0.285714286
2,3,4,8,19,-0.333333333
3,5,2,5,106,-0.4
5,10,15,20,351,-0.5
3,5,1,7,35,-0.4
4,8,3,10,44,-0.5
1,3,8,12,102,-0.666666667
2,5,5,10,349,-0.6
6,9,16,21,15,-0.333333333
6,8,6,11,9,-0.25
4,9,6,12,74,-0.555555556
2,4,2,8,137,-0.5
3,8,6,13,45,-0.625
1,4,10,15,37,-0.75
4,7,1,6,92,-0.428571429
11,16,6,12,113,-0.3125
2,4,3,8,21,-0.5
0,0,8,12,17,#DIV/0!
0,0,2,6,93,#DIV/0!
3,6,4,11,84,-0.5
2,4,5,8,25,-0.5
12,13,8,10,72,-0.076923077
12,18,2,8,63,-0.333333333
6,9,3,9,99,-0.333333333
0,1,1,5,12,-1
0,0,5,10,14,#DIV/0!
8,9,9,12,103,-0.111111111
4,7,7,12,56,-0.428571429
14,18,3,10,121,-0.222222222
2,5,5,8,24,-0.6
0,0,4,10,88,#DIV/0!
2,3,3,7,NA,-0.333333333
3,4,3,6,16,-0.25
5,8,1,5,22,-0.375
7,11,8,15,61,-0.363636364
6,8,4,8,637,-0.25
1,5,4,10,28,-0.8
3,5,5,10,39,-0.4
2,2,3,7,130,0
3,7,6,14,117,-0.571428571
1,3,2,6,8,-0.666666667
1,2,5,7,11,-0.5
0,0,4,8,27,#DIV/0!
0,1,8,12,160,-1
8,10,4,9,53,-0.2
6,8,10,15,26,-0.25
5,6,1,4,110,-0.166666667
6,9,1,6,77,-0.333333333
2,3,6,9,13,-0.333333333
9,9,0,4,18,0
4,7,10,16,82,-0.428571429
2,3,2,7,124,-0.333333333
12,15,5,10,29,-0.2
9,13,3,9,31,-0.307692308
0,2,8,14,100,-1
1,2,9,12,104,-0.5
5,5,0,4,4,0
5,6,1,4,50,-0.166666667
3,5,8,14,41,-0.4
5,7,1,4,23,-0.285714286
0,1,7,12,128,-1
6,6,4,8,106,0
2,5,5,11,35,-0.6
8,13,6,11,102,-0.384615385
7,8,12,16,15,-0.125
2,2,3,7,9,0
2,2,8,9,137,0
4,5,3,6,37,-0.2
3,6,7,13,21,-0.5
3,4,4,8,93,-0.25
5,8,4,10,84,-0.375
3,5,0,3,63,-0.4
1,2,7,10,12,-0.5
1,2,6,11,14,-0.5
7,11,3,9,56,-0.363636364
1,2,4,9,24,-0.5
3,4,8,11,NA,-0.25
8,10,3,6,22,-0.2
6,8,4,9,28,-0.25
5,6,2,7,39,-0.166666667
3,6,6,12,8,-0.5
4,5,0,5,27,-0.2
3,7,13,20,53,-0.571428571
0,1,4,6,26,-1
9,14,8,12,77,-0.357142857
2,5,8,14,18,-0.6
4,6,0,2,124,-0.333333333
2,4,6,11,31,-0.5
0,0,2,5,4,#DIV/0!
5,5,2,5,41,0
5,6,6,10,23,-0.166666667
6,10,3,10,35,-0.4
5,8,5,11,15,-0.375
7,8,16,21,9,-0.125
3,4,1,5,21,-0.25
4,6,4,9,93,-0.333333333
5,7,3,7,12,-0.285714286
6,6,0,0,56,0
3,4,0,5,NA,-0.25
0,1,3,8,22,-1
3,5,6,10,8,-0.4
3,7,10,17,27,-0.571428571
5,9,7,11,26,-0.444444444
2,3,1,6,18,-0.333333333
3,5,4,7,4,-0.4
5,6,6,10,41,-0.166666667
6,10,5,9,35,-0.4
0,0,8,11,9,#DIV/0!
10,14,3,5,93,-0.285714286
6,12,8,16,NA,-0.5
5,6,5,8,8,-0.166666667
1,5,9,15,27,-0.8
1,2,5,9,18,-0.5
0,2,2,7,41,-1
0,1,2,5,9,-1
3,5,5,9,8,-0.4
3,4,5,11,27,-0.25
1,2,3,4,9,-0.5
2,5,4,7,27,-0.6
5,10,7,12,9,-0.5
2,4,3,9,2,-0.5
8,13,9,16,73,-0.384615385
6,9,2,7,62,-0.333333333
1,2,5,11,29,-0.5
8,9,1,4,788,-0.111111111
2,6,2,8,168,-0.666666667
5,8,0,4,63,-0.375
2,3,4,9,54,-0.333333333
5,7,7,12,51,-0.285714286
3,5,4,8,159,-0.4
2,3,2,6,182,-0.333333333
3,6,2,9,24,-0.5
2,6,3,10,38,-0.666666667
5,9,2,8,61,-0.444444444
3,3,1,6,150,0
7,12,5,13,8,-0.416666667
7,13,5,12,5,-0.461538462
0,1,6,11,178,-1
6,12,11,18,134,-0.5
7,10,2,8,31,-0.3
4,7,3,7,45,-0.428571429
3,8,3,9,96,-0.625
9,13,8,14,106,-0.307692308
6,10,3,10,20,-0.4
0,0,2,6,14,#DIV/0!
10,14,7,13,161,-0.285714286
1,2,2,7,131,-0.5
3,4,8,14,27,-0.25
7,9,7,12,37,-0.222222222
4,7,8,14,114,-0.428571429
3,6,1,7,157,-0.5
6,8,9,14,9,-0.25
6,8,7,13,12,-0.25
8,10,1,8,71,-0.2
3,5,4,10,72,-0.4
2,4,8,13,35,-0.5
17,22,9,14,188,-0.227272727
3,7,8,14,57,-0.571428571
3,3,1,5,69,0
16,22,12,19,15,-0.272727273
5,6,2,7,18,-0.166666667
2,4,7,10,49,-0.5
9,13,3,9,59,-0.307692308
0,2,4,9,82,-1
3,6,4,9,142,-0.5
0,4,7,13,65,-1
0,2,3,8,93,-1
3,8,7,13,6,-0.625
0,1,5,8,11,-1
3,6,2,7,94,-0.5
1,3,4,9,47,-0.666666667
10,15,8,14,100,-0.333333333
0,2,7,12,103,-1
8,16,11,21,357,-0.5
0,2,3,8,52,-1
2,5,5,9,39,-0.6
3,5,2,5,17,-0.4
2,5,3,9,42,-0.6
9,12,5,10,66,-0.25
6,10,11,20,41,-0.4
0,0,3,7,34,#DIV/0!
1,6,7,15,87,-0.833333333
15,17,2,9,43,-0.117647059
3,5,10,15,4,-0.4
0,2,6,10,2,-1
0,1,7,13,29,-1
2,7,11,18,168,-0.714285714
1,4,10,16,54,-0.75
5,12,5,14,159,-0.583333333
5,7,7,11,24,-0.285714286
3,6,3,8,61,-0.5
7,19,18,30,8,-0.631578947
9,14,3,9,5,-0.357142857
0,0,1,4,31,#DIV/0!
8,11,2,7,45,-0.272727273
1,4,5,10,20,-0.75
5,5,3,7,161,0
8,14,10,17,131,-0.428571429
5,10,6,12,114,-0.5
NA,NA,NA,NA,157,#VALUE!
6,10,2,9,12,-0.4
5,8,5,9,35,-0.375
1,3,2,8,57,-0.666666667
0,1,5,9,15,-1
9,14,7,15,49,-0.357142857
5,6,1,4,59,-0.166666667
0,0,3,7,142,#DIV/0!
9,13,4,10,6,-0.307692308
3,6,14,20,11,-0.5
5,10,7,14,100,-0.5
7,10,8,13,357,-0.3
3,8,1,7,39,-0.625
8,10,12,16,17,-0.2
3,7,3,9,66,-0.571428571
0,3,8,13,87,-1
1,3,4,9,43,-0.666666667
5,5,5,11,2,0
1,3,7,13,54,-0.666666667
11,20,2,9,159,-0.45
2,3,2,7,8,-0.333333333
4,5,5,8,5,-0.2
5,10,2,6,45,-0.5
5,8,3,10,131,-0.375
5,7,9,13,114,-0.285714286
7,11,10,13,35,-0.363636364
12,17,6,11,57,-0.294117647
5,9,13,19,49,-0.444444444
10,11,3,9,6,-0.090909091
9,13,8,15,11,-0.307692308
17,23,6,13,39,-0.260869565
3,5,2,9,66,-0.4
6,8,2,7,87,-0.25
0,0,10,14,54,#DIV/0!
5,9,7,13,159,-0.444444444
2,4,7,13,5,-0.5
8,13,5,11,131,-0.384615385
5,10,4,10,57,-0.5
2,6,6,13,6,-0.666666667
1,2,5,9,11,-0.5
5,7,8,13,66,-0.285714286
7,9,5,11,54,-0.222222222
5,10,5,13,131,-0.5
6,8,4,9,6,-0.25
3,5,5,10,11,-0.4
4,5,4,9,54,-0.2
10,12,1,5,6,-0.166666667
0,3,3,9,54,-1
0,0,2,8,1,#DIV/0!
3,5,3,9,387,-0.4
6,9,18,23,59,-0.333333333
2,4,5,10,32,-0.5
4,6,4,9,22,-0.333333333
2,3,4,5,60,-0.333333333
0,1,4,8,57,-1
8,14,4,10,183,-0.428571429
9,14,11,19,12,-0.357142857
6,6,3,7,37,0
4,6,5,12,94,-0.333333333
3,4,4,9,16,-0.25
8,11,5,11,27,-0.272727273
4,6,9,12,212,-0.333333333
5,6,1,6,40,-0.166666667
0,0,3,8,6,#DIV/0!
3,5,5,9,4,-0.4
1,2,5,10,65,-0.5
2,6,6,12,45,-0.666666667
5,10,10,17,33,-0.5
0,0,3,7,24,#DIV/0!
1,3,5,11,85,-0.666666667
1,1,1,3,131,0
3,5,2,4,104,-0.4
0,2,3,7,61,-1
4,8,6,12,112,-0.5
6,11,3,8,76,-0.454545455
4,8,6,10,52,-0.5
6,10,10,16,28,-0.4
6,12,8,15,67,-0.5
2,2,0,3,48,0
5,6,2,4,5,-0.166666667
3,4,6,9,9,-0.25
4,6,8,13,71,-0.333333333
0,1,7,11,81,-1
8,17,9,18,134,-0.529411765
9,17,8,16,20,-0.470588235
0,0,6,9,317,#DIV/0!
1,1,3,7,68,0
4,6,3,7,8,-0.333333333
0,1,2,7,14,-1
5,9,3,8,130,-0.444444444
1,2,2,6,83,-0.5
3,4,6,11,66,-0.25
6,10,9,14,30,-0.4
4,8,7,12,129,-0.5
4,5,4,7,43,-0.2
1,2,2,7,3,-0.5
2,4,4,10,7,-0.5
0,2,7,13,75,-1
7,13,4,11,54,-0.461538462
3,5,3,10,69,-0.4
0,2,2,8,101,-1
2,4,2,5,114,-0.5
8,10,3,7,99,-0.2
0,1,3,9,11,-1
0,1,12,17,17,-1
0,1,1,5,79,-1
2,6,9,16,46,-0.666666667
5,9,3,8,21,-0.444444444
3,5,6,10,36,-0.4
3,7,20,25,97,-0.571428571
0,1,8,14,72,-1
5,6,2,8,2,-0.166666667
6,10,0,6,1,-0.4
4,5,5,7,32,-0.2
4,6,2,7,22,-0.333333333
0,1,7,12,57,-1
5,10,8,13,12,-0.5
3,6,1,6,16,-0.5
2,3,6,11,27,-0.333333333
2,5,6,12,6,-0.6
7,7,4,7,65,0
3,5,2,8,33,-0.4
0,0,2,6,24,#DIV/0!
16,19,4,6,104,-0.157894737
0,0,2,8,61,#DIV/0!
0,1,4,9,52,-1
2,4,5,8,28,-0.5
4,4,1,3,5,0
2,4,3,9,71,-0.5
5,5,7,13,134,0
9,11,4,10,20,-0.181818182
8,13,10,16,68,-0.384615385
0,0,3,7,14,#DIV/0!
3,5,11,14,83,-0.4
2,2,1,5,30,0
0,0,4,7,3,#DIV/0!
1,4,2,7,7,-0.75
5,8,4,9,69,-0.375
1,2,2,6,101,-0.5
3,3,5,9,11,0
5,6,2,6,17,-0.166666667
2,3,2,5,46,-0.333333333
9,11,1,6,36,-0.181818182
10,17,6,14,2,-0.411764706
1,3,12,17,1,-0.666666667
0,1,6,10,57,-1
0,0,2,7,16,#DIV/0!
8,12,5,11,27,-0.333333333
3,7,13,17,33,-0.571428571
7,8,5,10,24,-0.125
3,4,2,8,61,-0.25
2,4,8,14,5,-0.5
10,19,10,19,71,-0.473684211
2,3,5,9,20,-0.333333333
5,5,3,8,14,0
6,7,3,7,3,-0.142857143
4,4,6,10,7,0
9,12,3,8,11,-0.25
1,4,11,17,17,-0.75
2,4,7,13,2,-0.5
2,3,3,6,1,-0.333333333
2,6,1,6,27,-0.666666667
3,4,2,6,24,-0.25
4,7,10,14,61,-0.428571429
2,3,4,8,71,-0.333333333
4,8,9,14,3,-0.5
7,11,5,9,11,-0.363636364
1,3,6,10,2,-0.666666667
10,13,7,11,27,-0.230769231
6,10,3,10,24,-0.4
3,3,8,12,3,0
1,4,7,13,11,-0.75
4,7,0,3,24,-0.428571429
5,7,0,4,3,-0.285714286
2,4,1,5,3,-0.5
5,8,7,12,1,-0.375
3,4,11,15,45,-0.25
1,2,2,5,124,-0.5
0,4,3,10,26,-1
5,7,12,15,25,-0.285714286
5,13,8,16,39,-0.615384615
5,10,3,9,51,-0.5
7,8,3,7,14,-0.125
3,4,6,9,10,-0.25
5,11,2,8,59,-0.545454545
4,5,8,12,171,-0.2
8,12,6,10,19,-0.333333333
0,2,1,7,34,-1
6,9,10,15,33,-0.333333333
0,0,5,10,75,#DIV/0!
3,4,10,14,6,-0.25
5,12,1,10,5,-0.583333333
0,1,3,7,203,-1
3,6,10,14,94,-0.5
11,16,6,12,29,-0.3125
3,5,7,12,18,-0.4
5,6,5,9,91,-0.166666667
1,3,11,15,93,-0.666666667
2,4,8,14,15,-0.5
2,3,7,11,81,-0.333333333
4,9,7,13,57,-0.555555556
3,4,3,7,88,-0.25
4,7,8,14,80,-0.428571429
2,7,3,11,31,-0.714285714
1,2,7,12,61,-0.5
4,12,3,9,60,-0.666666667
3,4,8,13,9,-0.25
2,5,3,8,8,-0.6
4,9,5,12,174,-0.555555556
4,5,9,12,50,-0.2
5,8,4,10,139,-0.375
0,2,5,10,22,-1
3,5,6,10,82,-0.4
1,1,3,9,1096,0
1,4,4,9,12,-0.75
2,9,9,16,16,-0.777777778
2,3,7,11,90,-0.333333333
0,0,4,9,69,#DIV/0!
3,7,7,13,24,-0.571428571
4,5,1,6,32,-0.2
8,11,3,9,76,-0.272727273
3,6,5,9,103,-0.5
1,5,9,15,4,-0.8
7,13,10,17,85,-0.461538462
2,8,6,14,84,-0.75
3,6,13,20,68,-0.5
1,3,5,9,30,-0.666666667
2,4,4,8,54,-0.5
9,14,13,19,97,-0.357142857
8,14,4,12,37,-0.428571429
4,5,4,9,11,-0.2
4,10,8,16,73,-0.6
1,1,3,7,58,0
1,6,2,9,149,-0.833333333
3,6,6,13,21,-0.5
7,9,4,8,35,-0.222222222
9,14,10,16,62,-0.357142857
4,4,1,5,102,0
1,2,8,10,2,-0.5
1,1,5,7,45,0
0,1,7,11,26,-1
7,10,4,8,25,-0.3
2,8,1,7,14,-0.75
5,7,5,11,59,-0.285714286
6,6,6,9,19,0
1,2,3,7,33,-0.5
3,4,4,9,6,-0.25
5,7,7,12,5,-0.285714286
5,6,5,9,29,-0.166666667
2,3,9,14,18,-0.333333333
3,6,8,13,15,-0.5
5,7,2,6,81,-0.285714286
2,5,9,13,88,-0.6
2,2,4,9,31,0
3,4,9,15,9,-0.25
5,7,9,14,8,-0.285714286
2,3,2,8,50,-0.333333333
0,0,3,7,22,#DIV/0!
NA,NA,NA,NA,1096,#VALUE!
1,4,8,13,16,-0.75
6,8,9,14,24,-0.25
3,4,7,12,32,-0.25
6,12,3,11,4,-0.5
8,10,1,6,85,-0.2
3,8,8,13,68,-0.625
6,13,6,13,54,-0.538461538
0,0,5,9,37,#DIV/0!
1,3,10,14,73,-0.666666667
3,3,1,5,21,0
0,1,1,7,35,-1
NA,NA,NA,NA,102,#VALUE!
1,3,8,14,26,-0.666666667
0,0,1,3,25,#DIV/0!
4,6,3,7,59,-0.333333333
5,7,7,13,33,-0.285714286
5,10,10,17,5,-0.5
9,12,9,15,18,-0.25
3,3,2,6,81,0
1,2,1,5,9,-0.5
2,4,4,8,8,-0.5
0,1,5,9,22,-1
1,2,6,11,16,-0.5
4,7,5,10,32,-0.428571429
0,4,5,10,85,-1
4,6,6,11,54,-0.333333333
6,6,3,6,21,0
16,22,7,14,35,-0.272727273
0,0,7,11,25,#DIV/0!
3,3,3,8,33,0
1,3,4,10,18,-0.666666667
5,7,8,12,9,-0.285714286
2,5,2,7,22,-0.6
6,12,7,15,32,-0.5
6,7,1,4,85,-0.142857143
6,9,5,10,35,-0.333333333
7,10,2,6,33,-0.3
5,6,5,8,18,-0.166666667
4,7,11,17,32,-0.428571429
7,14,5,13,85,-0.5
5,11,8,15,33,-0.545454545
7,11,4,10,32,-0.363636364
7,12,8,14,33,-0.416666667
3,4,0,5,1,-0.25
5,5,3,7,89,0
0,1,0,4,163,-1
1,1,2,7,64,0
6,6,4,6,70,0
4,5,6,11,56,-0.2
4,7,4,10,130,-0.428571429
5,5,2,5,17,0
0,2,8,14,14,-1
3,4,7,11,45,-0.25
9,12,11,17,338,-0.25
6,10,5,10,42,-0.4
5,6,4,8,35,-0.166666667
1,2,3,9,34,-0.5
6,8,4,8,75,-0.25
6,6,5,10,58,0
5,10,5,11,5,-0.5
9,14,8,15,44,-0.357142857
2,3,7,12,43,-0.333333333
6,8,5,10,33,-0.25
1,2,3,7,22,-0.5
3,3,1,5,62,0
3,6,1,5,106,-0.5
0,0,5,9,19,#DIV/0!
5,7,2,7,102,-0.285714286
4,4,5,9,143,0
1,2,10,15,370,-0.5
0,0,5,7,23,#DIV/0!
0,1,8,12,28,-1
6,11,6,12,50,-0.454545455
5,8,6,12,85,-0.375
3,4,0,1,100,-0.25
4,5,0,3,13,-0.2
2,3,3,8,49,-0.333333333
9,13,8,13,39,-0.307692308
6,8,11,16,87,-0.25
0,0,4,8,26,#DIV/0!
1,2,3,7,65,-0.5
2,8,6,11,117,-0.75
4,5,2,5,73,-0.2
2,3,8,13,16,-0.333333333
3,6,7,13,99,-0.5
1,2,0,5,91,-0.5
0,0,6,8,27,#DIV/0!
7,11,9,15,66,-0.363636364
9,12,6,11,48,-0.25
5,10,8,14,82,-0.5
1,1,3,6,6,0
1,2,4,7,9,-0.5
6,9,3,8,96,-0.333333333
4,9,7,14,79,-0.555555556
1,6,12,19,30,-0.833333333
0,0,5,10,24,#DIV/0!
13,15,4,7,111,-0.133333333
1,2,7,11,174,-0.5
0,1,3,10,12,-1
0,0,7,12,18,#DIV/0!
3,7,9,16,46,-0.571428571
12,16,11,15,120,-0.25
0,0,6,10,20,#DIV/0!
3,3,2,6,36,0
8,13,2,8,94,-0.384615385
1,3,5,9,219,-0.666666667
1,3,6,11,4,-0.666666667
5,8,9,15,1,-0.375
3,4,6,10,64,-0.25
6,11,2,7,56,-0.454545455
4,6,1,5,17,-0.333333333
3,8,11,16,45,-0.625
5,6,3,7,338,-0.166666667
7,15,2,12,34,-0.533333333
4,9,9,13,75,-0.555555556
1,2,6,9,44,-0.5
1,3,4,9,33,-0.666666667
4,8,8,14,22,-0.5
6,8,9,14,19,-0.25
1,3,5,9,102,-0.666666667
2,3,3,7,23,-0.333333333
13,20,6,14,28,-0.35
3,7,4,9,100,-0.571428571
0,0,7,11,13,#DIV/0!
14,15,7,9,87,-0.066666667
3,5,7,10,65,-0.4
8,11,6,12,73,-0.272727273
0,1,6,12,16,-1
2,3,3,7,27,-0.333333333
2,3,6,12,66,-0.333333333
0,3,1,7,82,-1
3,4,6,11,9,-0.25
2,6,5,11,79,-0.666666667
5,6,7,12,24,-0.166666667
3,4,8,12,12,-0.25
4,6,4,8,46,-0.333333333
2,3,0,3,20,-0.333333333
5,7,4,9,94,-0.285714286
9,12,1,6,4,-0.25
5,7,9,13,1,-0.285714286
7,11,5,9,17,-0.363636364
1,3,11,16,338,-0.666666667
1,6,6,13,75,-0.833333333
6,9,12,17,33,-0.333333333
2,6,11,18,22,-0.666666667
4,6,2,7,23,-0.333333333
2,4,4,9,28,-0.5
7,8,8,12,13,-0.125
2,7,8,14,65,-0.714285714
2,4,4,8,27,-0.5
6,7,5,11,66,-0.142857143
3,3,4,9,9,0
9,12,24,29,24,-0.25
3,3,5,8,20,0
8,10,3,9,4,-0.2
8,10,3,7,1,-0.2
5,5,2,4,75,0
3,5,4,7,22,-0.4
4,6,1,5,28,-0.333333333
4,5,2,6,13,-0.2
2,5,6,10,66,-0.6
12,15,0,7,24,-0.2
3,6,6,11,4,-0.5
2,4,5,11,1,-0.5
7,8,2,6,28,-0.125
3,3,6,10,13,0
6,7,7,10,4,-0.142857143
5,6,3,5,1,-0.166666667
0,1,8,10,13,-1
1,5,2,8,1,-0.8
3,5,1,5,1,-0.4
1,4,7,14,78,-0.75
0,2,2,8,43,-1
4,6,2,6,39,-0.333333333
